ID,condition,hour,replicate,index_marcogen
414,exp2_CL-FTH,5,1,109
415,exp2_CL-FTH,5,2,110
416,exp2_CL-FTH,5,3,111
417,exp2_CL-FTH,5.5,1,112
418,exp2_CL-FTH,5.5,2,113
419,exp2_CL-FTH,5.5,3,114
420,exp2_CL-FTH,6,1,115
421,exp2_CL-FTH,6,2,116
422,exp2_CL-FTH,6,3,117
423,exp2_CL-FTH,6.5,1,118
424,exp2_CL-FTH,6.5,2,119
425,exp2_CL-FTH,6.5,3,120
426,exp2_CL-FTH,7,1,121
427,exp2_CL-FTH,7,2,122
428,exp2_CL-FTH,7,3,123
429,exp2_CL-FTH,8,1,124
430,exp2_CL-FTH,8,2,125
431,exp2_CL-FTH,8,3,126
432,exp2_CL-FTH,9,1,127
433,exp2_CL-FTH,9,2,128
434,exp2_CL-FTH,9,3,129
435,exp2_CL-FTH,10,1,130
436,exp2_CL-FTH,10,2,131
437,exp2_CL-FTH,10,3,132
438,exp2_CL-FTH,11,1,133
439,exp2_CL-FTH,11,2,134
440,exp2_CL-FTH,11,3,135
441,exp2_CL-FTH,13,1,136
442,exp2_CL-FTH,13,2,137
443,exp2_CL-FTH,13,3,138
444,exp2_CL-FTH,15,1,139
445,exp2_CL-FTH,15,2,140
446,exp2_CL-FTH,15,3,141
447,exp2_CL-FTH,16,1,142
448,exp2_CL-FTH,16,2,143
449,exp2_CL-FTH,16,3,144
450,exp2_CL-FTH,17,1,145
451,exp2_CL-FTH,17,2,146
452,exp2_CL-FTH,17,3,147
453,exp2_CL-FTH,17.5,1,148
454,exp2_CL-FTH,17.5,2,149
455,exp2_CL-FTH,17.5,3,150
456,exp2_CL-FTH,18,1,151
457,exp2_CL-FTH,18,2,152
458,exp2_CL-FTH,18,3,153
459,exp2_CL-FTH,18.5,1,154
460,exp2_CL-FTH,18.5,2,155
461,exp2_CL-FTH,18.5,3,156
462,exp2_CL-FTH,19_2,1,157
463,exp2_CL-FTH,19_2,2,158
464,exp2_CL-FTH,19_2,3,159
