"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"419",2,1,58,18.4,18.5,83,80
"420",2,1,59,18.4,18.5,77,80
"421",2,2,0,18.4,18.5,84,80
"422",2,2,1,18.3,18.5,77,80
"423",2,2,2,18.5,18.5,85,80
"424",2,2,3,18.2,18.5,81,80
"425",2,2,4,18.5,18.5,85,80
"426",2,2,5,18.1,18.5,82,80
"427",2,2,6,18.6,18.5,83,80
"428",2,2,7,18.2,18.5,83,80
"429",2,2,8,18.5,18.5,79,80
"430",2,2,9,18.3,18.5,83,80
"431",2,2,10,18.4,18.5,78,80
"432",2,2,11,18.4,18.5,84,80
"433",2,2,12,18.3,18.5,77,80
"434",2,2,13,18.5,18.5,84,80
"435",2,2,14,18.2,18.5,80,80
"436",2,2,15,18.5,18.5,85,80
"437",2,2,16,18.2,18.5,82,80
"438",2,2,17,18.6,18.5,84,80
"439",2,2,18,18.2,18.5,83,80
"440",2,2,19,18.5,18.5,80,80
"441",2,2,20,18.3,18.5,83,80
"442",2,2,21,18.4,18.5,78,80
"443",2,2,22,18.4,18.5,84,80
"444",2,2,23,18.4,18.5,77,80
"445",2,2,24,18.4,18.5,84,80
"446",2,2,25,18.3,18.5,79,80
"447",2,2,26,18.5,18.5,85,80
"448",2,2,27,18.2,18.5,82,80
"449",2,2,28,18.6,18.5,84,80
"450",2,2,29,18.2,18.5,82,80
"451",2,2,30,18.5,18.5,81,80
"452",2,2,31,18.3,18.5,83,80
"453",2,2,32,18.4,18.5,78,80
"454",2,2,33,18.4,18.5,84,80
"455",2,2,34,18.4,18.5,77,80
"456",2,2,35,18.4,18.5,84,80
"457",2,2,36,18.3,18.5,79,80
"458",2,2,37,18.5,18.5,85,80
"459",2,2,38,18.2,18.5,81,80
"460",2,2,39,18.5,18.5,85,80
"461",2,2,40,18.2,18.5,82,80
"462",2,2,41,18.5,18.5,83,80
"463",2,2,42,18.2,18.5,83,80
"464",2,2,43,18.5,18.5,81,80
"465",2,2,44,18.3,18.5,83,80
"466",2,2,45,18.5,18.5,79,80
"467",2,2,46,18.3,18.5,83,80
"468",2,2,47,18.4,18.5,77,80
"469",2,2,48,18.4,18.5,84,80
"470",2,2,49,18.3,18.5,77,80
"471",2,2,50,18.4,18.5,84,80
"472",2,2,51,18.3,18.5,78,80
"473",2,2,52,18.5,18.5,85,80
"474",2,2,53,18.2,18.5,80,80
"475",2,2,54,18.5,18.5,85,80
"476",2,2,55,18.2,18.5,82,80
